time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-26T07:01:49.200Z,-6.1196,142.6353,35,5.1,mb,,50,5.545,1.51,us,us2000d7zv,2018-02-26T07:23:13.040Z,"95km SW of Porgera, Papua New Guinea",earthquake,8.4,2,0.055,108,reviewed,us,us
2018-02-26T06:27:50.610Z,-6.1585,142.6275,32.38,4.6,mb,,77,5.528,0.46,us,us2000d7zh,2018-02-26T09:44:25.040Z,"99km SW of Porgera, Papua New Guinea",earthquake,10,6.1,0.073,56,reviewed,us,us
2018-02-26T06:26:56.490Z,-15.0883,-71.5428,113.69,4.7,mb,,87,3.496,1.42,us,us2000d7zf,2018-02-26T09:03:32.040Z,"46km N of Ccolo, Peru",earthquake,7.5,6,0.051,116,reviewed,us,us
2018-02-26T05:28:01.740Z,-6.2495,142.7798,10.81,5,mb,,54,5.353,1.31,us,us2000d7ym,2018-02-26T06:02:56.854Z,"96km W of Mendi, Papua New Guinea",earthquake,6.9,4.2,0.069,67,reviewed,us,us
2018-02-26T05:20:13.930Z,-6.4864,142.5832,35,4.8,mb,,75,5.38,0.83,us,us2000d7yl,2018-02-26T08:29:58.040Z,"123km WSW of Mendi, Papua New Guinea",earthquake,10,2,0.062,80,reviewed,us,us
2018-02-26T04:54:00.940Z,-6.344,143.4677,35,4.7,mb,,88,4.756,1.21,us,us2000d7yf,2018-02-26T05:11:50.040Z,"27km SW of Mendi, Papua New Guinea",earthquake,9.7,2,0.106,27,reviewed,us,us
2018-02-26T04:41:02.340Z,-5.4195,151.8309,35,5.6,mww,,60,1.264,1.1,us,us2000d7y3,2018-02-26T14:30:26.040Z,"127km SSW of Kokopo, Papua New Guinea",earthquake,6.2,2,0.071,19,reviewed,us,us
2018-02-26T04:37:07.160Z,-6.2925,143.0061,27.32,4.8,mb,,81,5.147,0.89,us,us2000d7xx,2018-02-26T05:02:42.040Z,"72km W of Mendi, Papua New Guinea",earthquake,9.9,6.1,0.087,41,reviewed,us,us
2018-02-26T03:12:57.810Z,-6.1221,143.0201,35,5.2,mb,,50,5.24,0.94,us,us2000d7ws,2018-02-26T03:33:00.040Z,"70km W of Mendi, Papua New Guinea",earthquake,5,1.9,0.054,114,reviewed,us,us
2018-02-26T03:10:59.570Z,-6.3033,142.9725,35,5,mb,,72,5.167,0.81,us,us2000d7wl,2018-02-26T03:37:07.040Z,"76km W of Mendi, Papua New Guinea",earthquake,4.8,1.9,0.092,38,reviewed,us,us
2018-02-26T02:31:52.950Z,-6.4513,143.2979,21.44,4.8,mb,,60,4.82,0.75,us,us2000d7wf,2018-02-26T02:58:55.040Z,"49km SW of Mendi, Papua New Guinea",earthquake,9.6,2.8,0.124,20,reviewed,us,us
2018-02-26T02:25:34.980Z,-6.3056,142.9533,35,5,mb,,42,5.181,1.25,us,us2000d7wa,2018-02-26T02:49:42.040Z,"78km W of Mendi, Papua New Guinea",earthquake,8.1,1.9,0.065,76,reviewed,us,us
2018-02-26T00:16:43.610Z,-6.2925,142.9705,35,4.6,mb,,97,5.175,0.77,us,us2000d7vk,2018-02-26T03:07:54.040Z,"76km W of Mendi, Papua New Guinea",earthquake,5.8,2,0.09,37,reviewed,us,us
2018-02-25T23:46:23.220Z,-6.5246,143.1539,27.93,4.6,mb,,77,4.891,0.72,us,us2000d7v9,2018-02-26T03:02:36.100Z,"67km SW of Mendi, Papua New Guinea",earthquake,9.5,5.8,0.093,35,reviewed,us,us
2018-02-25T23:07:27.680Z,-6.1535,143.128,35,4.6,mb,,65,5.137,0.83,us,us2000d7ux,2018-02-26T02:54:50.040Z,"57km W of Mendi, Papua New Guinea",earthquake,9,2,0.085,42,reviewed,us,us
2018-02-25T22:57:46.330Z,-6.3409,143.1137,35,5,mb,,41,5.032,0.61,us,us2000d7up,2018-02-26T00:35:23.040Z,"62km WSW of Mendi, Papua New Guinea",earthquake,8.4,1.9,0.071,64,reviewed,us,us
2018-02-25T22:28:13.230Z,-6.1671,142.7552,35,5,mb,,38,5.421,0.69,us,us2000d7u8,2018-02-25T22:41:02.040Z,"91km SSW of Porgera, Papua New Guinea",earthquake,8.7,2,0.103,30,reviewed,us,us
2018-02-25T22:19:11.470Z,-6.3044,143.1923,35,5,mb,,96,5.936,1.17,us,us2000d7un,2018-02-25T23:06:38.040Z,"52km WSW of Mendi, Papua New Guinea",earthquake,9.7,2,0.098,33,reviewed,us,us
2018-02-25T22:09:37.510Z,-6.1352,142.9995,35,4.5,mb,,102,5.248,0.94,us,us2000d7u3,2018-02-26T00:54:34.040Z,"72km W of Mendi, Papua New Guinea",earthquake,10.1,2,0.098,31,reviewed,us,us
2018-02-25T21:47:46.870Z,-5.9635,142.6503,16.63,5.2,mb,,29,5.626,0.64,us,us2000d7tt,2018-02-26T00:46:51.200Z,"82km SW of Porgera, Papua New Guinea",earthquake,8.1,3.6,0.056,107,reviewed,us,us
2018-02-25T21:11:43.160Z,-5.6987,142.363,35,5,mb,,49,6.013,0.78,us,us2000d7t3,2018-02-25T21:32:18.040Z,"96km WSW of Porgera, Papua New Guinea",earthquake,5.3,2,0.077,54,reviewed,us,us
2018-02-25T20:57:05.440Z,-5.8846,142.5046,35,4.9,mb,,75,5.789,0.84,us,us2000d7sw,2018-02-25T21:41:31.040Z,"89km WSW of Porgera, Papua New Guinea",earthquake,10.7,2,0.083,46,reviewed,us,us
2018-02-25T20:55:14.780Z,56.0557,-161.9751,190.19,4.6,mb,,45,1.104,1.21,us,us2000d7sr,2018-02-25T22:36:05.738Z,"107km NNE of Cold Bay, Alaska",earthquake,6.6,7.9,0.076,52,reviewed,us,us
2018-02-25T20:17:29.610Z,-6.2439,142.7457,35,5.2,mb,,40,5.383,1.48,us,us2000d7sa,2018-02-25T20:35:50.040Z,"99km SSW of Porgera, Papua New Guinea",earthquake,7,1.9,0.088,42,reviewed,us,us
2018-02-25T20:15:46.490Z,27.6632,56.5377,10,4.5,mb,,123,2.723,0.96,us,us2000d7s8,2018-02-25T21:18:22.024Z,"58km NNE of Bandar 'Abbas, Iran",earthquake,6,1.9,0.093,34,reviewed,us,us
2018-02-25T19:40:52.420Z,-6.3806,143.3568,35,5.3,mb,,118,12.07,0.82,us,us2000d7rv,2018-02-25T19:59:52.040Z,"39km SW of Mendi, Papua New Guinea",earthquake,10.3,2,0.057,104,reviewed,us,us
